Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
22300    ALGUNAS                      RD,,34.1512,-118.6149,7/23/2020 0:00,7/19/2020 0:00,1200,21,Topanga,2183,2,0522 1258,11,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 W  99TH                         ST,,33.9464,-118.2821,11/8/2020 0:00,11/8/2020 0:00,15,18,Southeast,1822,2,1822 2004 0432 0443,60,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,Crimes against Public Order
1600 N  WESTERN                      AV,,34.1001,-118.3092,8/31/2020 0:00,8/27/2020 0:00,2045,6,Hollywood,648,1,0325 0344 0601,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
400 S  LAS PALMAS                   AV,,34.065,-118.3357,8/1/2020 0:00,8/1/2020 0:00,2240,7,Wilshire,738,1,344,21,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
8400    LAUREL CANYON                BL,,34.2231,-118.3965,7/16/2021 0:00,10/25/2020 0:00,930,16,Foothill,1681,2,0377 0100 0930 1822,35,M,H,602,BANK,,,IC,Invest Cont,Fraud and White-Collar Crimes
43RD                         PL,CRENSHAW                     BL,34.0041,-118.3325,9/11/2020 0:00,9/11/2020 0:00,2230,3,Southwest,393,1,1307 0329 1822 2004 1402 0344 0390 0400,49,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
5700    CARLTON                      WY,,34.1005,-118.3141,8/28/2020 0:00,8/28/2020 0:00,1710,6,Hollywood,648,2,0400 0444 0429,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
1900 W  68TH                         ST,,33.9778,-118.3134,11/12/2020 0:00,11/12/2020 0:00,1900,12,77th Street,1243,2,2038 0561 0913,56,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
3400 N  FIGUEROA                     ST,,34.0922,-118.2226,11/24/2020 0:00,11/24/2020 0:00,1000,11,Northeast,1178,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
300 N  VISTA                        ST,,34.0762,-118.3522,12/31/2020 0:00,12/31/2020 0:00,245,7,Wilshire,714,2,329,70,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
3800 S  COCHRAN                      AV,,34.0181,-118.3612,4/5/2020 0:00,4/5/2020 0:00,1220,3,Southwest,341,1,0329 1202 1210,70,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
2400    CREST VIEW                   DR,,34.1158,-118.3887,12/7/2020 0:00,12/5/2020 0:00,1400,6,Hollywood,621,1,0344 1300 1822,31,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,Property Crimes
15400 W  VENTURA                      BL,,34.1599,-118.4766,9/20/2020 0:00,9/20/2020 0:00,1404,10,West Valley,1079,1,1822 0325 1420 0104,0,M,W,401,MINI-MART,,,IC,Invest Cont,Property Crimes
1600 N  HOBART                       BL,,34.1,-118.3056,3/24/2020 0:00,3/20/2020 0:00,1500,6,Hollywood,649,1,0358 0344 1300 1202 1822,54,F,H,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
4000    LAUREL CANYON                BL,,34.1325,-118.3974,6/19/2020 0:00,6/18/2020 0:00,2257,15,N Hollywood,1591,1,0430 1822 0906,28,M,O,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,Violent Crimes
5900    RESEDA                       BL,,34.1769,-118.5384,4/14/2020 0:00,4/14/2020 0:00,100,10,West Valley,1043,1,1822 0344 1420,22,M,O,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
4100    BALLINA                      DR,,34.1453,-118.4901,3/18/2020 0:00,3/11/2020 0:00,1400,10,West Valley,1097,1,1607 1822 0344 0321,58,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
FIGUEROA,84TH                         ST,33.9632,-118.2827,6/26/2020 0:00,6/22/2020 0:00,2100,12,77th Street,1267,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
9800    BELMAR                       AV,,34.2485,-118.5591,2/16/2020 0:00,2/16/2020 0:00,1,17,Devonshire,1764,1,0344 0321 1501,28,M,O,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
ROSEWOOD,VERMONT,34.079,-118.2917,8/12/2020 0:00,8/12/2020 0:00,1200,2,Rampart,211,2,0329 0447 1309 1310 1312 1822 0432,22,F,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,Property Crimes
18600    COLLINS                      ST,,34.1745,-118.5384,3/5/2020 0:00,3/5/2020 0:00,2100,10,West Valley,1043,1,0344 1822 1202 2021,68,F,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,Property Crimes
2700    RESERVOIR                    ST,,34.082,-118.2694,6/7/2020 0:00,6/6/2020 0:00,2000,11,Northeast,1181,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
7000    HOLLYWOOD                    BL,,34.1015,-118.3425,11/26/2020 0:00,11/25/2020 0:00,2330,6,Hollywood,645,2,0400 0444 0913,37,M,A,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 E  11TH                         ST,,34.0368,-118.2546,12/5/2020 0:00,12/5/2020 0:00,800,13,Newton,1303,2,1822 0416,58,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
BRADLEY                      AV,POLK                         ST,34.3023,-118.4557,3/20/2020 0:00,3/19/2020 0:00,1700,19,Mission,1925,1,0385 0329,42,F,H,101,STREET,,,IC,Invest Cont,Property Crimes
1500 W  8TH                          ST,,34.0511,-118.2707,1/4/2020 0:00,1/4/2020 0:00,1130,2,Rampart,269,1,0334 1606 0359 0363 1822 1402,13,F,H,501,SINGLE FAMILY DWELLING,112,TOY GUN,AO,Adult Other,Property Crimes
1900 S  NORMANDIE                    AV,,34.0395,-118.3003,12/29/2020 0:00,12/26/2020 0:00,1800,20,Olympic,2097,1,1822 0344,35,M,W,118,CONSTRUCTION SITE,,,IC,Invest Cont,Property Crimes
400    WORLD WAY,,33.9431,-118.4081,11/27/2020 0:00,11/27/2020 0:00,820,14,Pacific,1494,1,0344 1822,20,F,O,102,SIDEWALK,,,IC,Invest Cont,Property Crimes
800 S  KINGSLEY                     DR,,34.0577,-118.3031,5/5/2020 0:00,5/5/2020 0:00,1600,20,Olympic,2044,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
1100 N  NEW HAMPSHIRE                AV,,34.0909,-118.2928,6/16/2020 0:00,6/16/2020 0:00,2110,11,Northeast,1163,2,0417 1822,48,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
700 S  GAFFEY                       ST,,33.7374,-118.2923,6/24/2020 0:00,6/24/2020 0:00,1430,5,Harbor,565,1,0209 0325 1236 0344 0945 0352 1221 0444 0104,0,X,X,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
100    THE GROVE                    DR,,34.0747,-118.3563,11/28/2020 0:00,11/28/2020 0:00,1338,7,Wilshire,724,1,0325 0104,0,M,O,415,THE GROVE,,,IC,Invest Cont,Property Crimes
7500    RIVERTON                     AV,,34.2067,-118.366,1/23/2021 0:00,12/22/2020 0:00,1200,15,N Hollywood,1508,1,344,80,F,H,145,MAIL BOX,,,IC,Invest Cont,Property Crimes
1500 N  DETROIT                      ST,,34.098,-118.3456,12/3/2020 0:00,12/3/2020 0:00,1225,6,Hollywood,643,2,0329 1402 1501 1822 1300 1307,0,X,X,101,STREET,311,HAMMER,IC,Invest Cont,Property Crimes
13300 W  RIVERSIDE                    DR,,34.1576,-118.4225,5/31/2020 0:00,5/30/2020 0:00,1500,9,Van Nuys,966,2,329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
80TH                         ST,FIGUEROA,33.9669,-118.2827,7/14/2020 0:00,7/13/2020 0:00,300,12,77th Street,1266,1,1822 0344 0355 0446 0416 1300 1313 0448 0408,39,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
1000 S  BROADWAY,,34.0406,-118.2578,11/12/2020 0:00,11/12/2020 0:00,1204,1,Central,185,2,2000 0444 1814 1276,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
3400    MCKINLEY                     AV,,34.0132,-118.2603,2/3/2020 0:00,2/2/2020 0:00,2000,13,Newton,1343,1,1202 1300 0344 0385,69,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
2600 E  OLYMPIC                      BL,,34.0253,-118.2224,10/24/2020 0:00,10/23/2020 0:00,1800,4,Hollenbeck,491,1,0344 0329 1302,0,M,W,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
2200    COLORADO                     BL,,34.1442,-118.218,3/9/2020 0:00,3/9/2020 0:00,1525,11,Northeast,1105,2,529,40,M,H,101,STREET,,,IC,Invest Cont,Crimes against Public Order
5200 W  ADAMS                        BL,,34.0325,-118.3552,4/28/2020 0:00,4/28/2020 0:00,1638,3,Southwest,312,1,1822 0104 0325 0378 0401 0945,19,X,X,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
6200    HOLLYWOOD                    BL,,34.1017,-118.3245,2/18/2020 0:00,2/17/2020 0:00,2240,6,Hollywood,647,2,0400 0910,42,M,W,910,MTA - RED LINE - HOLLYWOOD/VINE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 S  MATHEWS                      ST,,34.0401,-118.2106,2/27/2020 0:00,2/26/2020 0:00,1800,4,Hollenbeck,467,1,344,0,M,W,721,HIGH SCHOOL,,,IC,Invest Cont,Property Crimes
900    MILWOOD                      AV,,33.9959,-118.4611,9/3/2020 0:00,7/3/2020 0:00,1200,14,Pacific,1432,2,1822,61,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
9100    LANGDON                      AV,,34.2356,-118.4698,7/1/2020 0:00,6/1/2020 0:00,2130,19,Mission,1961,2,0329 1810,27,F,B,108,PARKING LOT,,,AA,Adult Arrest,Property Crimes
1200 W  46TH                         ST,,34.0017,-118.2965,3/14/2020 0:00,3/14/2020 0:00,1915,12,77th Street,1204,2,2000 0400 0416 0448 1814,41,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1800    LEMOYNE                      ST,,34.0846,-118.2549,5/12/2020 0:00,4/24/2020 0:00,1800,11,Northeast,1183,1,0344 0385,37,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
4700    JANET                        PL,,34.1345,-118.222,6/24/2020 0:00,6/23/2020 0:00,1800,11,Northeast,1113,2,2000 0913 0416 1814,34,F,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
2900 N  BROADWAY,,34.0737,-118.2117,1/30/2020 0:00,1/29/2020 0:00,2320,4,Hollenbeck,422,2,329,0,X,X,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,Property Crimes
10000    FARRALONE                    AV,,34.2522,-118.6104,5/9/2020 0:00,5/9/2020 0:00,1140,17,Devonshire,1751,2,1501 0913 0603,41,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Other Crimes
2900    HAUSER                       BL,,34.0271,-118.3648,6/25/2020 0:00,6/25/2020 0:00,1450,3,Southwest,311,2,1822 1309 0416 0446 0417 0448 0329,35,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
200 S  OLIVE                        ST,,34.0532,-118.2494,9/6/2020 0:00,9/5/2020 0:00,2125,1,Central,132,1,0344 1822 1606 0321,49,F,B,503,HOTEL,,,IC,Invest Cont,Property Crimes
2500 E  2ND                          ST,,34.0411,-118.2083,6/26/2020 0:00,6/12/2020 0:00,1200,4,Hollenbeck,467,1,344,25,M,H,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,Property Crimes
300 S  BEAUDRY                      AV,,34.0562,-118.257,7/31/2020 0:00,6/11/2020 0:00,1,2,Rampart,249,2,1822 0344 0924,0,X,X,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,Fraud and White-Collar Crimes
3400 S  LA CIENEGA                   BL,,34.0264,-118.3721,6/12/2020 0:00,6/11/2020 0:00,1815,3,Southwest,321,2,0329 0342 1309 1402 1822,19,X,X,221,PUBLIC STORAGE,,,IC,Invest Cont,Property Crimes
4100    RADFORD                      AV,,34.1472,-118.3921,9/28/2020 0:00,9/27/2020 0:00,1030,15,N Hollywood,1583,1,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,Property Crimes
1500 S  SAINT ANDREWS                PL,,34.0454,-118.3116,4/18/2020 0:00,4/17/2020 0:00,2330,20,Olympic,2071,2,0416 0408 0444 1206,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
13000    VICTORY                      BL,,34.1936,-118.4166,11/19/2020 0:00,11/19/2020 0:00,1950,15,N Hollywood,1522,2,1814 2000 0400 0416,24,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1400    VALENCIA                     ST,,34.0421,-118.2759,3/27/2020 0:00,3/27/2020 0:00,1,2,Rampart,299,1,2004 1612 0329 1822,20,M,H,101,STREET,,,AA,Adult Arrest,Property Crimes
1000    LEIGHTON                     AV,,34.0132,-118.2915,6/18/2020 0:00,6/18/2020 0:00,940,3,Southwest,379,2,0329 0400 0416 0913 1810,21,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5400 W  WASHINGTON                   BL,,34.039,-118.3606,9/17/2020 0:00,9/17/2020 0:00,110,7,Wilshire,783,1,1300 1402 1606,25,M,B,101,STREET,,,IC,Invest Cont,Property Crimes
16000    VENICE                       BL,,34.0193,-118.4062,7/13/2020 0:00,7/13/2020 0:00,1213,14,Pacific,1406,2,356,55,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
14000    ASTORIA                      ST,,34.3123,-118.4379,7/28/2020 0:00,7/24/2020 0:00,1840,19,Mission,1917,2,0416 1261 1822,56,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
700 W  7TH                          ST,,34.0491,-118.2558,3/18/2020 0:00,3/17/2020 0:00,2045,1,Central,152,1,0344 1601 1822 0324 1414 1403,0,M,O,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,Property Crimes
5300    SAN VICENTE                  BL,,34.0522,-118.3494,7/7/2020 0:00,7/7/2020 0:00,600,7,Wilshire,745,2,2000 0400 0416 1813,67,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
2100    JOHN S GIBSON                BL,,33.7577,-118.2884,5/29/2020 0:00,5/28/2020 0:00,1900,5,Harbor,523,2,329,0,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
14500    BRAND                        BL,,34.2752,-118.4484,11/16/2020 0:00,11/16/2020 0:00,445,19,Mission,1944,2,2000 0416 1813,37,F,H,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
CITRUS                       AV,DOCKWEILER                   ST,34.0518,-118.3431,12/5/2020 0:00,12/4/2020 0:00,2130,7,Wilshire,765,1,0344 1609,25,M,H,101,STREET,,,IC,Invest Cont,Property Crimes
21000    OSBORNE                      ST,,34.233,-118.5915,9/10/2020 0:00,9/9/2020 0:00,2200,17,Devonshire,1781,2,0329 1609,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,Property Crimes
800 E  40TH                         PL,,34.0102,-118.2615,8/22/2020 0:00,8/21/2020 0:00,1810,13,Newton,1343,2,,0,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Other Crimes
4800 S  LA BREA                      AV,,34.0003,-118.3588,8/7/2020 0:00,8/7/2020 0:00,600,3,Southwest,391,1,1609 1822 1307 0329 0344,44,F,H,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
BEVERLY,NORMANDIE,34.0763,-118.3004,11/22/2020 0:00,11/22/2020 0:00,600,20,Olympic,2015,2,0342 1822 0446 0416 1206,27,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11100    DE FOE                       AV,,34.2727,-118.4146,4/26/2021 0:00,12/31/2020 0:00,1200,16,Foothill,1612,2,1822 0377,0,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Fraud and White-Collar Crimes
4000    VIA MARISOL,,34.0935,-118.1856,9/23/2020 0:00,9/16/2020 0:00,1830,4,Hollenbeck,406,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
116TH                        ST,AVALON                       BL,33.9292,-118.2652,5/14/2020 0:00,5/14/2020 0:00,400,18,Southeast,1863,2,1822 0910 2004 0446 1212 0307 2003,29,F,H,124,BUS STOP,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5400    FAIR                         AV,,34.1685,-118.3743,2/26/2020 0:00,2/25/2020 0:00,1000,15,N Hollywood,1549,1,385,43,F,X,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
1000 E  53RD                         ST,,33.9943,-118.2581,3/27/2020 0:00,3/27/2020 0:00,1200,13,Newton,1373,2,0448 0416 0913,29,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400    SHATTO                       PL,,34.0652,-118.2899,9/7/2020 0:00,8/13/2020 0:00,1035,20,Olympic,2029,2,1822 0930 0100,30,M,C,404,DEPARTMENT STORE,,,IC,Invest Cont,Fraud and White-Collar Crimes
7000    GLASGOW                      AV,,33.9744,-118.3725,12/9/2020 0:00,12/9/2020 0:00,1559,14,Pacific,1469,1,0344 0394,34,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
8700    DENKER                       AV,,33.959,-118.3046,3/21/2020 0:00,3/13/2020 0:00,400,12,77th Street,1273,1,0344 0321 1601 1822 1202,73,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
13200    CHELTENHAM                   DR,,34.1403,-118.4226,2/3/2020 0:00,1/31/2020 0:00,1417,9,Van Nuys,998,1,0394 1420 1414 0344,34,M,X,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,Property Crimes
100 N  HAYWORTH                     AV,,34.0743,-118.3626,8/23/2020 0:00,8/7/2020 0:00,900,7,Wilshire,723,1,1822 0344 1606,71,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
5600    YORK                         BL,,34.12,-118.1893,2/27/2020 0:00,2/17/2020 0:00,2300,11,Northeast,1127,1,0358 1307 0344,26,F,H,101,STREET,,,IC,Invest Cont,Property Crimes
2100    GLENCOE                      AV,,33.9995,-118.4494,11/1/2020 0:00,10/23/2020 0:00,2200,14,Pacific,1433,1,344,60,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,Property Crimes
13000    DRONFIELD                    AV,,34.3066,-118.4356,7/13/2020 0:00,7/10/2020 0:00,100,19,Mission,1918,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
87TH,CENTRAL,33.9593,-118.2564,4/26/2020 0:00,4/22/2020 0:00,5,18,Southeast,1804,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
400 S  FIGUEROA                     ST,,34.0535,-118.256,2/23/2020 0:00,2/22/2020 0:00,1600,1,Central,142,1,344,33,M,W,503,HOTEL,,,IC,Invest Cont,Property Crimes
57TH                         ST,SAN PEDRO,33.9907,-118.2701,10/9/2020 0:00,10/8/2020 0:00,1740,13,Newton,1372,2,0400 2000 0913 1300 0329,27,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
900 W  80TH                         ST,,33.9667,-118.2889,7/21/2020 0:00,7/20/2020 0:00,800,12,77th Street,1266,1,344,39,F,B,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,Property Crimes
700 S  CORONADO                     ST,,34.0589,-118.2821,3/23/2020 0:00,3/21/2020 0:00,1800,2,Rampart,261,1,0913 2000 0342 0344 1814,31,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
7500    WOODMAN                      PL,,34.2071,-118.4298,7/13/2020 0:00,7/13/2020 0:00,1305,9,Van Nuys,909,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
4700    BERRYMAN                     AV,,33.9978,-118.4092,3/8/2020 0:00,1/7/2020 0:00,830,14,Pacific,1458,1,,0,,,104,DRIVEWAY,,,IC,Invest Cont,Property Crimes
WILTON                       PL,OLYMPIC                      BL,34.0543,-118.3193,10/28/2020 0:00,10/28/2020 0:00,1340,20,Olympic,2041,1,1218 1822 0342 0378 0334 0416 0446 0344 0421 0370,37,M,H,158,TRANSIENT ENCAMPMENT,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,Property Crimes
PACIFIC                      AV,SANTA CRUZ,33.7442,-118.2879,11/23/2020 0:00,11/22/2020 0:00,1630,5,Harbor,564,1,0305 0419 0400 0416 0429 2024 1259 0913 1251 1824,16,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,Violent Crimes
8400 S  WESTERN                      AV,,33.9627,-118.309,1/12/2020 0:00,1/12/2020 0:00,30,12,77th Street,1263,1,0344 0385,21,M,B,103,ALLEY,,,IC,Invest Cont,Property Crimes
6700    VAN NUYS                     BL,,34.1903,-118.4574,7/21/2020 0:00,2/1/2020 0:00,1400,9,Van Nuys,923,1,,0,,,108,PARKING LOT,,,IC,Invest Cont,Property Crimes
3RD,ROSE,33.997,-118.4761,3/21/2020 0:00,3/21/2020 0:00,1930,14,Pacific,1413,1,1606 0344 1300,59,F,H,158,TRANSIENT ENCAMPMENT,,,IC,Invest Cont,Property Crimes
WALL,93RD                         ST,33.9519,-118.2717,7/6/2020 0:00,7/4/2020 0:00,45,18,Southeast,1805,2,1822 1300 0342 0416 0429 0444 1258,12,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
2200 E  101ST                        ST,,33.9449,-118.2356,11/23/2020 0:00,11/23/2020 0:00,1705,18,Southeast,1829,2,0329 1822 1300 1307,47,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
9200 W  PICO                         BL,,34.0553,-118.392,5/10/2020 0:00,5/8/2020 0:00,1400,8,West LA,857,1,1822 1609 0344,0,X,X,414,BOOK STORE,,,IC,Invest Cont,Property Crimes
108TH                        ST,109TH                        ST,33.9401,-118.2761,3/27/2020 0:00,3/26/2020 0:00,800,18,Southeast,1832,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
9900    ARLETA                       AV,,34.25,-118.4345,11/7/2020 0:00,11/6/2020 0:00,1900,19,Mission,1959,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
1600 W  52ND                         ST,,33.9951,-118.3046,12/12/2020 0:00,12/9/2020 0:00,1800,12,77th Street,1213,1,,0,,,101,STREET,,,IC,Invest Cont,Property Crimes
3800    SHANNON                      RD,,34.1193,-118.2777,4/6/2020 0:00,4/5/2020 0:00,1230,11,Northeast,1132,2,2000 1814 0913 0416 0329,30,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
1800    CENTURY PARK,,34.0591,-118.4213,6/9/2020 0:00,5/30/2020 0:00,929,8,West LA,839,1,0358 1609 1822,0,X,X,602,BANK,,,IC,Invest Cont,Property Crimes
900 N  LA CIENEGA                   BL,,34.087,-118.3764,10/13/2020 0:00,10/10/2020 0:00,630,7,Wilshire,701,2,0329 1300,42,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
5200    SUNLIGHT                     PL,,34.0225,-118.3593,12/3/2020 0:00,12/3/2020 0:00,2230,3,Southwest,321,2,2045 0416 0913,39,M,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
900 S  GRAMERCY                     PL,,34.0484,-118.3131,1/17/2020 0:00,1/17/2020 0:00,630,20,Olympic,2062,1,1309 0445 0416 2021 1822 1218,56,F,W,101,STREET,311,HAMMER,IC,Invest Cont,Violent Crimes
1800 W  PICO                         BL,,34.0456,-118.2789,1/6/2020 0:00,1/6/2020 0:00,800,2,Rampart,295,1,0352 0344 1609 1307 0329,26,M,W,101,STREET,,,IC,Invest Cont,Property Crimes
7700 S  HARVARD                      BL,,33.97,-118.3068,1/18/2020 0:00,1/18/2020 0:00,1130,12,77th Street,1253,2,0913 2038 1202,61,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
11500    NEBRASKA                     AV,,34.042,-118.4494,8/2/2020 0:00,8/1/2020 0:00,1500,8,West LA,853,1,0344 1251 1822,35,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
8800    KESTER                       AV,,34.2301,-118.4575,3/14/2020 0:00,3/14/2020 0:00,2100,19,Mission,1984,2,1259 0416 0401,15,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Crimes against Persons
7500    BALBOA                       BL,,34.2068,-118.5013,6/18/2020 0:00,6/18/2020 0:00,300,10,West Valley,1017,1,1822 0344 1602 1414 1420,44,M,O,217,AUTO REPAIR SHOP,,,IC,Invest Cont,Property Crimes
